Mods count: 141
 
                                   jar name                                     |    notes     |               mod id                |                    mod name                     |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
FarmersDelight-1.21.1-1.2.11.jar                                                |              | farmersdelight                      | Farmer's Delight                                | 1.2.11                         | farmersdelight.mixins.json                                                                                                                                                                                                                                                                                                                                          | 2415b91d6437977e676985b4a2ef877208d202e1 | 1532443055     
ferritecore-7.0.3-neoforge.jar                                                  |              | ferritecore                         | Ferrite Core                                    | 7.0.3                          | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.datacomponents.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.accessors.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json | 9563692efb708b6b568df27a01ec52f6311928ef | 2808038058     
freecam-neoforge-1.3.0+mc1.21.jar                                               |              | freecam                             | Freecam                                         | 1.3.0+mc1.21                   | freecam-neoforge.mixins.json, freecam-common.mixins.json                                                                                                                                                                                                                                                                                                            | 428eee42f39e6f4c36a3fed2fc127ee9cbd5fa0c | 4136507442     
    /META-INF/jars/cloth-config-neoforge-15.0.128-neoforge.jar                  |              | cloth_config                        | Cloth Config v15 API                            | 15.0.128                       |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
fusion-1.2.12-neoforge-mc1.21.1.jar                                             |              | fusion                              | Fusion                                          | 1.2.12                         | fusion.mixins.json                                                                                                                                                                                                                                                                                                                                                  | d86f641b67d4b01d99da8424ba2a3edc0e6690b6 | 1484771835     
fzzy_config-0.7.6+1.21+neoforge.jar                                             |              | fzzy_config                         | Fzzy Config                                     | 0.7.6+1.21+neoforge            |                                                                                                                                                                                                                                                                                                                                                                     | c0910f9b975aaab8545ce950539748fb33d704d1 | 3178451079     
    /META-INF/jars/jankson-1.2.3.jar                                            |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                         |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
geckolib-neoforge-1.21.1-4.8.4.jar                                              |              | geckolib                            | GeckoLib 4                                      | 4.8.4                          | geckolib.mixins.json                                                                                                                                                                                                                                                                                                                                                | eb854c8ec53ef922a5f3877a1aa4c1ce1352e0ce | 396384696      
gjeb-neoforge-1.21.1-1.3.0.40.jar                                               |              | gjeb                                | GJEB (GammaJustExtremeBright)                   | 1.3.0.40                       | gjeb.mixins.json                                                                                                                                                                                                                                                                                                                                                    | 89d3e4be21dc48d290c1186d37c60acca659b518 | 3288984216     
handcrafted-neoforge-1.21.1-4.0.3.jar                                           |              | handcrafted                         | Handcrafted                                     | 4.0.3                          | handcrafted-common.mixins.json                                                                                                                                                                                                                                                                                                                                      | 8ecd27f1d66f9b742cfae3c8ffa773765f574b52 | 2517848455     
ImmediatelyFast-NeoForge-1.6.10+1.21.1.jar                                      |              | immediatelyfast                     | ImmediatelyFast                                 | 1.6.10+1.21.1                  | immediatelyfast-common.mixins.json, immediatelyfast-neoforge.mixins.json                                                                                                                                                                                                                                                                                            | f1f5cccd7cb59d875f44566b2e557ccecc8c33fb | 1221808790     
    /META-INF/jars/Reflect-1.6.1+curseforge.jar                                 |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
immersive_paintings-neoforge-1.21.1-0.7.6.jar                                   |              | immersive_paintings                 | Immersive Paintings                             | 0.7.6                          | immersive_paintings.mixins.json                                                                                                                                                                                                                                                                                                                                     | 0f2acb69a6a7a8694de296ac5785dc13e814e413 | 1422107438     
    /META-INF/jarjar/imageio-webp-3.12.0.jar                                    |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/imageio-core-3.12.0.jar                                    |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/common-lang-3.12.0.jar                                     |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/common-image-3.12.0.jar                                    |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
iris-neoforge-1.8.12+mc1.21.1.jar                                               |              | iris                                | Iris                                            | 1.8.12-snapshot+mc1.21.1-local | mixins.iris.forge.json, mixins.iris.compat.sodium.json, mixins.iris.devenvironment.json, mixins.iris.fixes.maxfpscrash.json, iris-batched-entity-rendering.mixins.json, mixins.iris.json, mixins.iris.fantastic.json, mixins.iris.integrationtest.json, mixins.iris.vertexformat.json, mixins.iris.bettermipmaps.json, mixins.iris.compat.dh.json                   | a3e6355915c7d3b2bc392724795113e51d289378 | 2055048874     
    /META-INF/jarjar/glsl-transformer-2.0.1.jar                                 |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/jcpp-1.4.14.jar                                            |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
